pair1,pair2,1h,5m,4h,1d,15m
NZDJPY,AUDCHF,43,89.3,67.1,77.3,78.9
NZDJPY,GBPCHF,24.6,63.5,-3.5,50.8,-2.5
NZDJPY,GBPCAD,11,-55.6,-38,36,-3.6
NZDJPY,USDJPY,21.1,43.4,32.9,45.9,-17.6
NZDJPY,GBPNZD,-27.1,-47.3,-28.1,8.5,-81.3
NZDJPY,EURCHF,65.8,49.1,69.5,42.1,66.1
NZDJPY,NZDCHF,45.8,93.1,25.5,60.2,87.5
NZDJPY,CADCHF,9.3,83.2,46.8,47.3,-1.1
NZDJPY,NZDCAD,44.4,0.8,-4.2,32,85.3
NZDJPY,EURCAD,5.3,-78.3,-7.5,-18.4,44
NZDJPY,EURNZD,-27.2,-75.3,1.2,-46.5,-84
NZDJPY,GBPAUD,-21.7,-67.8,-65.2,-31.6,-71.4
NZDJPY,EURGBP,-3.7,-49.7,38.9,-38.6,39
NZDJPY,EURAUD,-21.7,-90.9,-32.4,-80.6,-45.5
NZDJPY,USDCAD,-71.5,-88.5,-73.1,-76.3,-73.3
NZDJPY,USDCHF,-30.4,4.8,-71.4,-52.3,-83.7
AUDUSD,EURUSD,77.7,73.8,81.3,78.4,86
AUDUSD,CHFJPY,69.5,65.6,66.9,65.9,10.7
AUDUSD,EURJPY,73.3,65.8,71.3,77.8,54.5
AUDUSD,NZDJPY,73.5,94.3,94.5,92.2,90.9
AUDUSD,AUDUSD,100,100,100,100,100
AUDUSD,CADJPY,35.8,87.1,67.9,68.4,17.1
AUDUSD,AUDJPY,77.8,92.1,93.2,95.7,78.7
AUDUSD,NZDUSD,93.2,80.1,88.3,77.4,97.1
AUDUSD,GBPUSD,79.2,76,75.6,54.7,63.7
AUDUSD,GBPJPY,62.1,71.4,72.1,61.2,9.8
AUDUSD,AUDNZD,16.2,25.9,54.7,75.6,-77.9
AUDUSD,AUDCAD,76.9,23.8,23.6,85.6,89.7
AUDUSD,AUDCHF,9.8,94,66.6,88.5,92.8
AUDUSD,GBPCHF,-1.5,61.4,7.2,38.9,1.8
AUDUSD,GBPCAD,37.5,-59.2,-30.8,27.7,-9.9
AUDUSD,USDJPY,-40.4,42,20.2,44.1,-50
AUDUSD,GBPNZD,-4.5,-41.8,-13.8,0.9,-86.4
AUDUSD,EURCHF,53.7,50.2,76.1,49.1,72.4
AUDUSD,NZDCHF,2.3,86.4,18.8,54.7,95.5
AUDUSD,CADCHF,-30.8,83.8,48.4,35.9,10.2
AUDUSD,NZDCAD,53.2,-9.6,-10.3,33.7,88.6
AUDUSD,EURCAD,39.9,-78.1,-4.6,1.2,40.8
AUDUSD,EURNZD,13.4,-67.3,9.2,-36.3,-91.5
AUDUSD,GBPAUD,-13.7,-77.7,-55.8,-52,-79.8
AUDUSD,EURGBP,17.2,-45,32.5,-23.5,39.2
AUDUSD,EURAUD,6.7,-95.8,-28.6,-92.1,-58
AUDUSD,USDCAD,-85,-89.9,-79.3,-65.2,-83.1
AUDUSD,USDCHF,-74.3,0.1,-79.2,-47.7,-83.3
CADJPY,EURUSD,-10.1,58.7,87,73.2,-8.9
CADJPY,CHFJPY,23.8,75.1,94.8,90.5,73.9
CADJPY,EURJPY,26,80,95.6,93,49.3
CADJPY,NZDJPY,70.9,86.6,67,77.1,40.1
CADJPY,AUDUSD,35.8,87.1,67.9,68.4,17.1
CADJPY,CADJPY,100,100,100,100,100
CADJPY,AUDJPY,82.1,94.5,87.1,80.2,68.3
CADJPY,NZDUSD,23.9,55.4,29.9,41.6,5.2
CADJPY,GBPUSD,16.2,74.4,64.1,69.6,38.1
CADJPY,GBPJPY,58.5,85.6,87.4,84.6,86.8
CADJPY,AUDNZD,30.9,45.9,90.7,63.4,16.7
CADJPY,AUDCAD,-18.1,-6.2,-52.4,29.7,-9.7
CADJPY,AUDCHF,65.9,93.5,8.8,50.1,21.8
CADJPY,GBPCHF,45.1,76.4,-16.7,54.4,32.2
CADJPY,GBPCAD,-31.2,-61.6,-71.7,32,-0.5
CADJPY,USDJPY,64.2,70,78.4,75.6,68.5
CADJPY,GBPNZD,-7.5,-11.8,36.6,48.5,12.8
CADJPY,EURCHF,21,69.8,83.8,30.9,-20.7
CADJPY,NZDCHF,48.1,72.2,-47.9,5.8,4.6
CADJPY,CADCHF,57.6,96.2,78.2,63.5,45.8
CADJPY,NZDCAD,-31.6,-49.2,-77,-35.6,-13.6
CADJPY,EURCAD,-49.4,-84.7,-36.7,-47.6,-43.9
CADJPY,EURNZD,-43.2,-43.5,68.9,10.4,-18.4
CADJPY,GBPAUD,-24.6,-59.7,-21.9,-2.9,7.7
CADJPY,EURGBP,-36.9,-51.3,58.6,-46.6,-37.2
CADJPY,EURAUD,-57.7,-85.9,33,-50.8,-47.2
CADJPY,USDCAD,-68.1,-90.4,-96.7,-86.9,-45.5
CADJPY,USDCHF,15.5,33.5,-83.6,-52.6,-5.1
AUDJPY,EURUSD,39.6,66.3,87.3,72.8,60.2
AUDJPY,CHFJPY,60.9,82.1,85.1,74.1,64
AUDJPY,EURJPY,65.3,87.2,87.7,88.4,81
AUDJPY,NZDJPY,92.1,88.2,93.2,90,91.3
AUDJPY,AUDUSD,77.8,92.1,93.2,95.7,78.7
AUDJPY,CADJPY,82.1,94.5,87.1,80.2,68.3
AUDJPY,AUDJPY,100,100,100,100,100
AUDJPY,NZDUSD,67.8,55.1,69.5,60.5,70.8
AUDJPY,GBPUSD,53.1,74.5,70.6,54.4,55.7
AUDJPY,GBPJPY,75,88.2,82.5,69.4,56.2
AUDJPY,AUDNZD,24.9,54.2,73.8,86.3,-46.4
AUDJPY,AUDCAD,41.2,26.4,-3.9,80.9,66.1
AUDJPY,AUDCHF,44.3,97.5,49.3,88.8,72.2
AUDJPY,GBPCHF,23.8,75.5,-7.5,44.6,6
AUDJPY,GBPCAD,6.3,-47.3,-53.6,28.3,-6.5
AUDJPY,USDJPY,26,73.7,54.3,68.2,14.1
AUDJPY,GBPNZD,-10.3,-11.5,1,14.6,-58.2
AUDJPY,EURCHF,50.2,73.8,83.3,57.7,42.7
AUDJPY,NZDCHF,30.7,71,-6.2,42.4,67.2
AUDJPY,CADCHF,12.4,86.2,63.5,47.8,13.2
AUDJPY,NZDCAD,19.6,-34.9,-37.2,13,59.8
AUDJPY,EURCAD,-1,-70.1,-18.3,-5.2,19.1
AUDJPY,EURNZD,-16.6,-40.5,33,-17.3,-69.1
AUDJPY,GBPAUD,-24.6,-67.3,-52,-47.8,-58.4
AUDJPY,EURGBP,-7.9,-47,49.9,-26.5,19.2
AUDJPY,EURAUD,-27.9,-88.8,-7.7,-89.6,-57.3
AUDJPY,USDCAD,-81.3,-80.8,-90.2,-63.9,-70.9
AUDJPY,USDCHF,-32.9,32.5,-84.3,-37.9,-66.6
