pair1,pair2,1h,5m,4h,1d,15m
GBPCAD,NZDCHF,-43.4,-59.3,40.9,15.2,5.1
GBPCAD,CADCHF,-67.8,-69,-62.9,16.4,21.6
GBPCAD,NZDCAD,54.5,25.4,63.7,5,-3.5
GBPCAD,EURCAD,69.4,77,52.1,-8.4,-7.3
GBPCAD,EURNZD,52.9,53.7,-47.6,-10.7,-1.2
GBPCAD,GBPAUD,77.5,77.8,51.2,57.1,55.4
GBPCAD,EURGBP,-5.2,-9.5,-81.2,-92.1,-52.4
GBPCAD,EURAUD,58.8,59.1,-23.4,-17.6,0.3
GBPCAD,USDCAD,-5.4,76.8,62,-32.7,8.7
GBPCAD,USDCHF,-64.7,14.8,44.7,-25.4,31.7
USDJPY,EURUSD,-61.6,27,47.7,27.8,-53.4
USDJPY,CHFJPY,-17.7,80.6,75.2,63.1,72.9
USDJPY,EURJPY,-17.3,88.4,71.8,77.4,26.1
USDJPY,NZDJPY,21.1,43.4,32.9,45.9,-17.6
USDJPY,AUDUSD,-40.4,42,20.2,44.1,-50
USDJPY,CADJPY,64.2,70,78.4,75.6,68.5
USDJPY,AUDJPY,26,73.7,54.3,68.2,14.1
USDJPY,NZDUSD,-44.6,-9.9,-16.8,-8,-56.4
USDJPY,GBPUSD,-44.6,43.4,15.4,30.2,-23.9
USDJPY,GBPJPY,13.7,82.7,56,60,63.1
USDJPY,AUDNZD,11.6,81.1,72.8,76.7,59.7
USDJPY,AUDCAD,-57.8,20.5,-65.4,34.5,-51.2
USDJPY,AUDCHF,49,64.4,-21.3,51.9,-47.8
USDJPY,GBPCHF,36.5,70,-37.5,39.4,5.4
USDJPY,GBPCAD,-48.3,-7.2,-74,17.3,6.7
USDJPY,USDJPY,100,100,100,100,100
USDJPY,GBPNZD,-8,46,34.6,42.7,56.8
USDJPY,EURCHF,-9.3,84.1,49,55.1,-56.3
USDJPY,NZDCHF,40.6,15.7,-60.5,-7,-59
USDJPY,CADCHF,64.8,55.7,59.5,57.6,2.1
USDJPY,NZDCAD,-53.1,-64.8,-77.1,-45.1,-58.1
USDJPY,EURCAD,-62.3,-28.3,-38.9,-19,-38.5
USDJPY,EURNZD,-44.3,21.9,68.1,38.2,49.9
USDJPY,GBPAUD,-14.8,-21.4,-11.3,-17.2,46
USDJPY,EURGBP,-37.4,-33,60.1,-22.4,-35.9
USDJPY,EURAUD,-50.4,-41.6,45.8,-45.1,12.7
USDJPY,USDCAD,12.4,-32.9,-60,-33.4,33.8
USDJPY,USDCHF,65.8,74,-44.4,3.2,39.9
GBPNZD,EURUSD,14.3,-34.4,30.8,22.9,-92.5
GBPNZD,CHFJPY,21,11.2,34.4,44.8,-10.5
GBPNZD,EURJPY,13.8,20,36.2,40.4,-56.2
GBPNZD,NZDJPY,-27.1,-47.3,-28.1,8.5,-81.3
GBPNZD,AUDUSD,-4.5,-41.8,-13.8,0.9,-86.4
GBPNZD,CADJPY,-7.5,-11.8,36.6,48.5,12.8
GBPNZD,AUDJPY,-10.3,-11.5,1,14.6,-58.2
GBPNZD,NZDUSD,-19.5,-78.9,-46.8,-16,-91.8
GBPNZD,GBPUSD,49.7,1,46.4,72.5,-23.3
GBPNZD,GBPJPY,50.2,25.8,53.8,75.6,28.2
GBPNZD,AUDNZD,41.4,61.7,54.5,17.9,88.1
GBPNZD,AUDCAD,-6.2,0.6,-73,-24.7,-92.5
GBPNZD,AUDCHF,-35.4,-18.8,-55.5,-10.5,-66.6
GBPNZD,GBPCHF,37.9,30.7,34.2,76.6,42.1
GBPNZD,GBPCAD,66.1,62.5,5.6,76.9,34
GBPNZD,USDJPY,-8,46,34.6,42.7,56.8
GBPNZD,GBPNZD,100,100,100,100,100
GBPNZD,EURCHF,-22.4,29.2,35.8,0,-75.2
GBPNZD,NZDCHF,-50.2,-64.1,-75.9,-38.9,-85
GBPNZD,CADCHF,-23.6,-19.4,28.7,29.2,32.4
GBPNZD,NZDCAD,-26.8,-59.6,-73.4,-59.9,-95.2
GBPNZD,EURCAD,17.2,37.6,-9.6,-34.7,-70.6
GBPNZD,EURNZD,44.4,80.6,76.9,45,75.2
GBPNZD,GBPAUD,87,64.5,79.7,72.7,93.8
GBPNZD,EURGBP,-43.3,-21.1,-12.8,-82,-75.8
GBPNZD,EURAUD,28,39,73.1,13.1,21
GBPNZD,USDCAD,2.3,42.6,-32.7,-37.5,52.8
GBPNZD,USDCHF,-20.2,59.9,-26.9,-21.6,92.2
EURCHF,EURUSD,54,50.9,90.6,17.6,90.5
EURCHF,CHFJPY,43.6,62,81,7.5,-10.7
EURCHF,EURJPY,61.6,89.9,88.4,44.1,54.1
EURCHF,NZDJPY,65.8,49.1,69.5,42.1,66.1
EURCHF,AUDUSD,53.7,50.2,76.1,49.1,72.4
EURCHF,CADJPY,21,69.8,83.8,30.9,-20.7
EURCHF,AUDJPY,50.2,73.8,83.3,57.7,42.7
EURCHF,NZDUSD,66.2,5.9,47.6,14.4,78.9
EURCHF,GBPUSD,43.9,46.8,81.1,10.2,41.9
EURCHF,GBPJPY,42.4,77.1,89,27.8,-13
EURCHF,AUDNZD,-35.9,68,76.7,61.3,-79
EURCHF,AUDCAD,53.2,17.8,-26,61.9,79.4
EURCHF,AUDCHF,7.6,71.2,24.3,75.5,65.2
EURCHF,GBPCHF,3.2,71.7,11.9,35.1,-4.8
EURCHF,GBPCAD,28.8,-17.4,-37.5,12.5,10.7
EURCHF,USDJPY,-9.3,84.1,49,55.1,-56.3
EURCHF,GBPNZD,-22.4,29.2,35.8,0,-75.2
EURCHF,EURCHF,100,100,100,100,100
EURCHF,NZDCHF,21.7,32,-27.4,50.3,79.5
EURCHF,CADCHF,-20.5,63.5,62.5,56.6,-16.3
EURCHF,NZDCAD,61.9,-54.2,-53.2,15.6,83.3
EURCHF,EURCAD,40.5,-30.4,-4.5,22.3,76.1
EURCHF,EURNZD,7.6,11.6,56.7,-3.7,-53.6
EURCHF,GBPAUD,-5.1,-30.8,-12.7,-43,-61.4
EURCHF,EURGBP,27,-22.4,40.7,-2.1,60.1
EURCHF,EURAUD,23.1,-41.5,25.5,-58.4,2.9
EURCHF,USDCAD,-36.2,-42.3,-88,-2.7,-42
EURCHF,USDCHF,-38.3,66.8,-81.9,37,-63.3
NZDCHF,EURUSD,-50.1,55.8,-38,15.8,85.4
NZDCHF,CHFJPY,-49.8,33.9,-55.3,-14.1,-4.7
NZDCHF,EURJPY,-38.4,38.1,-50.7,6.3,45.9
NZDCHF,NZDJPY,45.8,93.1,25.5,60.2,87.5
NZDCHF,AUDUSD,2.3,86.4,18.8,54.7,95.5
NZDCHF,CADJPY,48.1,72.2,-47.9,5.8,4.6
NZDCHF,AUDJPY,30.7,71,-6.2,42.4,67.2
NZDCHF,NZDUSD,15.9,94,57.5,71.8,98
NZDCHF,GBPUSD,-19.7,69.6,-13.1,17.8,68.8
NZDCHF,GBPJPY,3.9,52.8,-37.1,12.6,6.4
NZDCHF,AUDNZD,-36.9,-17.5,-62.9,11,-88.1
NZDCHF,AUDCAD,-24,3.2,86.7,61.9,86.8
NZDCHF,AUDCHF,91,79.1,79.8,68.7,91.7
NZDCHF,GBPCHF,60.9,53.2,35.3,29.5,12.1
NZDCHF,GBPCAD,-43.4,-59.3,40.9,15.2,5.1
NZDCHF,USDJPY,40.6,15.7,-60.5,-7,-59
NZDCHF,GBPNZD,-50.2,-64.1,-75.9,-38.9,-85
NZDCHF,EURCHF,21.7,32,-27.4,50.3,79.5
NZDCHF,NZDCHF,100,100,100,100,100
NZDCHF,CADCHF,79.2,78,-17.9,38.3,12.7
NZDCHF,NZDCAD,0.6,18,86.4,79.6,92
NZDCHF,EURCAD,-69.3,-80.3,2,-0.4,43.8
NZDCHF,EURNZD,-95.7,-90.2,-94.7,-88.2,-93.8
NZDCHF,GBPAUD,-35.3,-63.8,-44.9,-40.9,-70.1
NZDCHF,EURGBP,-52.1,-48.5,-46.7,-13.4,34.8
NZDCHF,EURAUD,-82.1,-86.2,-93.2,-67.2,-50.3
NZDCHF,USDCAD,-23.8,-85.9,36.7,-13.4,-78.1
NZDCHF,USDCHF,59.4,-10.1,40.1,11.9,-75.1
CADCHF,EURUSD,-80.7,49.1,48.1,14,-29.7
CADCHF,CHFJPY,-65.7,54.3,54.4,24.6,-26
CADCHF,EURJPY,-62.1,65.7,58.4,43.4,-32.2
CADCHF,NZDJPY,9.3,83.2,46.8,47.3,-1.1
CADCHF,AUDUSD,-30.8,83.8,48.4,35.9,10.2
CADCHF,CADJPY,57.6,96.2,78.2,63.5,45.8
CADCHF,AUDJPY,12.4,86.2,63.5,47.8,13.2
CADCHF,NZDUSD,-33,60.1,18.6,18.7,-1.7
CADCHF,GBPUSD,-45.1,72.1,45.4,37.7,61
CADCHF,GBPJPY,-8.9,76.4,63.7,51.6,50.8
CADCHF,AUDNZD,6.6,33.2,69.5,36.5,22.3
CADCHF,AUDCAD,-70.6,-21.3,-49.3,14,-29.2
CADCHF,AUDCHF,88.1,90.8,30.9,50,40.1
CADCHF,GBPCHF,63.1,75.1,15.4,57,82.8
CADCHF,GBPCAD,-67.8,-69,-62.9,16.4,21.6
CADCHF,USDJPY,64.8,55.7,59.5,57.6,2.1
CADCHF,GBPNZD,-23.6,-19.4,28.7,29.2,32.4
CADCHF,EURCHF,-20.5,63.5,62.5,56.6,-16.3
CADCHF,NZDCHF,79.2,78,-17.9,38.3,12.7
CADCHF,CADCHF,100,100,100,100,100
CADCHF,NZDCAD,-60.6,-47.3,-65,-25.5,-27.2
CADCHF,EURCAD,-97.8,-92.7,-80.8,-67.7,-76.4
CADCHF,EURNZD,-87.2,-52.5,36.3,-13.3,-27.1
CADCHF,GBPAUD,-29.4,-57.4,-15.9,-0.8,34.8
CADCHF,EURGBP,-66.8,-54.3,18.2,-40.8,-75.2
CADCHF,EURAUD,-92.2,-85.7,0.5,-42,-67.3
CADCHF,USDCAD,-12.9,-94,-76.3,-47.8,-56.7
CADCHF,USDCHF,84.2,28.3,-39.5,17.1,37.4
NZDCAD,EURUSD,66.9,2.6,-54,7.3,94.5
NZDCAD,CHFJPY,42.7,-36.3,-70.5,-30.9,5.7
NZDCAD,EURJPY,51.6,-49,-69.1,-21.8,57.1
NZDCAD,NZDJPY,44.4,0.8,-4.2,32,85.3
NZDCAD,AUDUSD,53.2,-9.6,-10.3,33.7,88.6
NZDCAD,CADJPY,-31.6,-49.2,-77,-35.6,-13.6
NZDCAD,AUDJPY,19.6,-34.9,-37.2,13,59.8
NZDCAD,NZDUSD,74.6,38,34.9,62.8,95.7
NZDCAD,GBPUSD,48.1,-14.6,-33.4,-6.2,42.7
NZDCAD,GBPJPY,19.5,-45.2,-61.3,-20.8,-13.8
NZDCAD,AUDNZD,-59,-76.3,-84.1,-12.4,-94.3
NZDCAD,AUDCAD,84.3,39.1,92.2,55.6,95.7
NZDCAD,AUDCHF,-25.8,-31.1,45.8,39.1,73
NZDCAD,GBPCHF,-23.9,-42.9,19.2,-6.6,-20.9
NZDCAD,GBPCAD,54.5,25.4,63.7,5,-3.5
NZDCAD,USDJPY,-53.1,-64.8,-77.1,-45.1,-58.1
NZDCAD,GBPNZD,-26.8,-59.6,-73.4,-59.9,-95.2
NZDCAD,EURCHF,61.9,-54.2,-53.2,15.6,83.3
NZDCAD,NZDCHF,0.6,18,86.4,79.6,92
NZDCAD,CADCHF,-60.6,-47.3,-65,-25.5,-27.2
NZDCAD,NZDCAD,100,100,100,100,100
NZDCAD,EURCAD,69.8,33,42.8,44,72.5
NZDCAD,EURNZD,18.1,-44.2,-91.8,-83.6,-80.4
NZDCAD,GBPAUD,2.3,0.1,-26.7,-42.4,-81.6
NZDCAD,EURGBP,41.6,17,-45.3,12.9,63.4
NZDCAD,EURAUD,44,13.1,-72.4,-42.8,-22.3
NZDCAD,USDCAD,-9.6,26.7,67.4,17.4,-53.4
NZDCAD,USDCHF,-60.4,-58.7,51.2,1.3,-87.6
EURCAD,EURUSD,86.8,-34.2,6.9,-0.9,78.8
EURCAD,CHFJPY,70.6,-36.1,-8.2,-22.5,9.9
EURCAD,EURJPY,71.1,-37.1,-7.9,-11.9,56.4
EURCAD,NZDJPY,5.3,-78.3,-7.5,-18.4,44
EURCAD,AUDUSD,39.9,-78.1,-4.6,1.2,40.8
EURCAD,CADJPY,-49.4,-84.7,-36.7,-47.6,-43.9
EURCAD,AUDJPY,-1,-70.1,-18.3,-5.2,19.1
EURCAD,NZDUSD,44.8,-70.4,11.9,-9.3,52.8
EURCAD,GBPUSD,51.3,-65.5,3.1,-35.6,-12.7
EURCAD,GBPJPY,17.2,-56.7,-14.3,-36.4,-42.1
EURCAD,AUDNZD,-14.1,-8,-30.9,11.6,-66.5
EURCAD,AUDCAD,77.1,36.3,43.3,38.6,71.3
EURCAD,AUDCHF,-80.8,-77.2,-21.4,8.2,16.3
EURCAD,GBPCHF,-58.3,-58.1,-10.9,-36.3,-57.7
EURCAD,GBPCAD,69.4,77,52.1,-8.4,-7.3
EURCAD,USDJPY,-62.3,-28.3,-38.9,-19,-38.5
EURCAD,GBPNZD,17.2,37.6,-9.6,-34.7,-70.6
EURCAD,EURCHF,40.5,-30.4,-4.5,22.3,76.1
EURCAD,NZDCHF,-69.3,-80.3,2,-0.4,43.8
EURCAD,CADCHF,-97.8,-92.7,-80.8,-67.7,-76.4
EURCAD,NZDCAD,69.8,33,42.8,44,72.5
EURCAD,EURCAD,100,100,100,100,100
EURCAD,EURNZD,83.1,70,-3.4,12.4,-17.4
EURCAD,GBPAUD,26.5,55.2,10.8,-37.5,-63.1
EURCAD,EURGBP,68.3,56.1,7.5,46.6,88.7
EURCAD,EURAUD,91.2,85.1,18.7,-2.4,46
EURCAD,USDCAD,4.6,95.1,31.2,54.2,9.7
EURCAD,USDCHF,-86.7,-3.6,-11.4,12.8,-66.1
EURNZD,EURUSD,67.2,-35.1,62.6,-8.4,-67.2
EURNZD,CHFJPY,63.8,-7.1,74.2,20.6,0.5
EURNZD,EURJPY,57.5,1.4,72.8,16.9,-33
EURNZD,NZDJPY,-27.2,-75.3,1.2,-46.5,-84
EURNZD,AUDUSD,13.4,-67.3,9.2,-36.3,-91.5
EURNZD,CADJPY,-43.2,-43.5,68.9,10.4,-18.4
EURNZD,AUDJPY,-16.6,-40.5,33,-17.3,-69.1
EURNZD,NZDUSD,3.5,-95.8,-33.5,-74.9,-91.3
EURNZD,GBPUSD,33,-51.6,38.2,-14.8,-72
EURNZD,GBPJPY,8.4,-20.1,61.3,0.8,-16.6
EURNZD,AUDNZD,26.5,49.9,79.4,20.9,77.5
EURNZD,AUDCAD,40.3,4.6,-83,-37.8,-75.3
EURNZD,AUDCHF,-90.9,-50.2,-60.2,-38.1,-90.4
EURNZD,GBPCHF,-61.5,-23.2,-26.2,-14.9,-19.9
EURNZD,GBPCAD,52.9,53.7,-47.6,-10.7,-1.2
EURNZD,USDJPY,-44.3,21.9,68.1,38.2,49.9
EURNZD,GBPNZD,44.4,80.6,76.9,45,75.2
EURNZD,EURCHF,7.6,11.6,56.7,-3.7,-53.6
EURNZD,NZDCHF,-95.7,-90.2,-94.7,-88.2,-93.8
EURNZD,CADCHF,-87.2,-52.5,36.3,-13.3,-27.1
EURNZD,NZDCAD,18.1,-44.2,-91.8,-83.6,-80.4
EURNZD,EURCAD,83.1,70,-3.4,12.4,-17.4
EURNZD,EURNZD,100,100,100,100,100
EURNZD,GBPAUD,34.5,52.4,34.3,23.8,62.3
EURNZD,EURGBP,61.5,40.6,53.5,14.2,-14
EURNZD,EURAUD,91,71.1,88.3,45.7,71.7
EURNZD,USDCAD,13.9,70.3,-60.7,13.6,84.8
EURNZD,USDCHF,-72,41,-61.5,6.1,68.2
GBPAUD,EURUSD,14.7,-59.5,-20.5,-13.4,-82.1
GBPAUD,CHFJPY,12,-44,-21.6,-3.1,-17.8
GBPAUD,EURJPY,9.9,-44.4,-20,-18.9,-53.8
GBPAUD,NZDJPY,-21.7,-67.8,-65.2,-31.6,-71.4
GBPAUD,AUDUSD,-13.7,-77.7,-55.8,-52,-79.8
GBPAUD,CADJPY,-24.6,-59.7,-21.9,-2.9,7.7
GBPAUD,AUDJPY,-24.6,-67.3,-52,-47.8,-58.4
GBPAUD,NZDUSD,-10.3,-62.9,-62.2,-25.5,-79
GBPAUD,GBPUSD,49.6,-18.3,12.1,43.1,-4.3
GBPAUD,GBPJPY,45.6,-24.6,5.4,30.2,34.3
GBPAUD,AUDNZD,-8.6,-20,-7.1,-54.6,66.3
GBPAUD,AUDCAD,-3.6,-27.4,-46,-73.8,-87.5
GBPAUD,AUDCHF,-41.6,-69.2,-63.6,-64.7,-60.3
GBPAUD,GBPCHF,42.2,-7.9,49.7,46.9,56.1
GBPAUD,GBPCAD,77.5,77.8,51.2,57.1,55.4
GBPAUD,USDJPY,-14.8,-21.4,-11.3,-17.2,46
GBPAUD,GBPNZD,87,64.5,79.7,72.7,93.8
GBPAUD,EURCHF,-5.1,-30.8,-12.7,-43,-61.4
GBPAUD,NZDCHF,-35.3,-63.8,-44.9,-40.9,-70.1
GBPAUD,CADCHF,-29.4,-57.4,-15.9,-0.8,34.8
GBPAUD,NZDCAD,2.3,0.1,-26.7,-42.4,-81.6
GBPAUD,EURCAD,26.5,55.2,10.8,-37.5,-63.1
GBPAUD,EURNZD,34.5,52.4,34.3,23.8,62.3
GBPAUD,GBPAUD,100,100,100,100,100
GBPAUD,EURGBP,-41.9,-14.6,-52.2,-65.8,-79.3
GBPAUD,EURAUD,39.4,73.6,56.9,65.2,24.7
GBPAUD,USDCAD,18,65.6,23.8,-8.7,46.1
GBPAUD,USDCHF,-16.9,15.2,22.6,-10.5,87.1
EURGBP,EURUSD,54.8,-2.8,56.5,-30,72.5
EURGBP,CHFJPY,45.6,-28,69.7,-35.8,16.3
EURGBP,EURJPY,45.6,-25.5,65,-33.1,51.8
EURGBP,NZDJPY,-3.7,-49.7,38.9,-38.6,39
EURGBP,AUDUSD,17.2,-45,32.5,-23.5,39.2
EURGBP,CADJPY,-36.9,-51.3,58.6,-46.6,-37.2
EURGBP,AUDJPY,-7.9,-47,49.9,-26.5,19.2
EURGBP,NZDUSD,20.4,-35.8,9.8,-29.8,47.5
EURGBP,GBPUSD,-10.7,-85.9,-2.2,-89.5,-36.2
EURGBP,GBPJPY,-35.8,-71.1,23.9,-82.8,-58.6
EURGBP,AUDNZD,-9.8,-11.4,51.1,-5.7,-55.5
EURGBP,AUDCAD,45.7,5.9,-32.3,3.9,64.4
EURGBP,AUDCHF,-60.4,-51.5,-20.1,-12.3,10.8
EURGBP,GBPCHF,-95.3,-83.7,-85.9,-94.3,-82.7
EURGBP,GBPCAD,-5.2,-9.5,-81.2,-92.1,-52.4
EURGBP,USDJPY,-37.4,-33,60.1,-22.4,-35.9
EURGBP,GBPNZD,-43.3,-21.1,-12.8,-82,-75.8
EURGBP,EURCHF,27,-22.4,40.7,-2.1,60.1
EURGBP,NZDCHF,-52.1,-48.5,-46.7,-13.4,34.8
EURGBP,CADCHF,-66.8,-54.3,18.2,-40.8,-75.2
EURGBP,NZDCAD,41.6,17,-45.3,12.9,63.4
EURGBP,EURCAD,68.3,56.1,7.5,46.6,88.7
EURGBP,EURNZD,61.5,40.6,53.5,14.2,-14
EURGBP,GBPAUD,-41.9,-14.6,-52.2,-65.8,-79.3
EURGBP,EURGBP,100,100,100,100,100
EURGBP,EURAUD,66.9,56.2,40.4,14.2,39.3
EURGBP,USDCAD,11.9,48.5,-50.9,49.8,4.3
EURGBP,USDCHF,-54.5,-22,-59.8,27.2,-70.9
EURAUD,EURUSD,68,-51.6,32.4,-48,-8.4
EURAUD,CHFJPY,56.3,-57.1,44,-40.4,-0.6
EURAUD,EURJPY,54.5,-55.2,41.2,-58.4,1.6
EURAUD,NZDJPY,-21.7,-90.9,-32.4,-80.6,-45.5
EURAUD,AUDUSD,6.7,-95.8,-28.6,-92.1,-58
EURAUD,CADJPY,-57.7,-85.9,33,-50.8,-47.2
EURAUD,AUDJPY,-27.9,-88.8,-7.7,-89.6,-57.3
EURAUD,NZDUSD,12.4,-76.6,-57.3,-63.7,-43.6
EURAUD,GBPUSD,30.1,-74,10.8,-33.5,-64.1
EURAUD,GBPJPY,1.3,-69.7,28.7,-43.9,-41.1
EURAUD,AUDNZD,-15.8,-25.2,41.6,-77.4,11.6
EURAUD,AUDCAD,44.1,-17.9,-80.5,-93.1,-29.5
EURAUD,AUDCHF,-95.2,-93.2,-87.6,-97.3,-73.9
EURAUD,GBPCHF,-62,-64.1,-29.5,-33.2,-47.1
EURAUD,GBPCAD,58.8,59.1,-23.4,-17.6,0.3
EURAUD,USDJPY,-50.4,-41.6,45.8,-45.1,12.7
EURAUD,GBPNZD,28,39,73.1,13.1,21
EURAUD,EURCHF,23.1,-41.5,25.5,-58.4,2.9
EURAUD,NZDCHF,-82.1,-86.2,-93.2,-67.2,-50.3
EURAUD,CADCHF,-92.2,-85.7,0.5,-42,-67.3
EURAUD,NZDCAD,44,13.1,-72.4,-42.8,-22.3
EURAUD,EURCAD,91.2,85.1,18.7,-2.4,46
EURAUD,EURNZD,91,71.1,88.3,45.7,71.7
EURAUD,GBPAUD,39.4,73.6,56.9,65.2,24.7
EURAUD,EURGBP,66.9,56.2,40.4,14.2,39.3
EURAUD,EURAUD,100,100,100,100,100
EURAUD,USDCAD,26.7,88.5,-23.6,39,76.5
EURAUD,USDCHF,-69.5,-3.3,-33.4,14.1,18.4
USDCAD,EURUSD,-45.5,-61.5,-92.6,-84.5,-53.7
USDCAD,CHFJPY,-47.4,-51.1,-91.4,-82.8,-6.3
USDCAD,EURJPY,-49.9,-52.9,-93.8,-75.5,-31.6
USDCAD,NZDJPY,-71.5,-88.5,-73.1,-76.3,-73.3
USDCAD,AUDUSD,-85,-89.9,-79.3,-65.2,-83.1
USDCAD,CADJPY,-68.1,-90.4,-96.7,-86.9,-45.5
USDCAD,AUDJPY,-81.3,-80.8,-90.2,-63.9,-70.9
USDCAD,NZDUSD,-73.5,-78.9,-45.6,-65.7,-75.6
USDCAD,GBPUSD,-63.3,-72.9,-76.2,-77.2,-78.5
USDCAD,GBPJPY,-62.3,-64,-89.7,-76.3,-35.1
USDCAD,AUDNZD,-28.9,-12.3,-87,-33.4,51.4
USDCAD,AUDCAD,-31.6,20.9,40.4,-16.6,-50
USDCAD,AUDCHF,-38.7,-85,-20.3,-32.7,-86.5
USDCAD,GBPCHF,-23.5,-59.6,6,-48.2,-35.1
USDCAD,GBPCAD,-5.4,76.8,62,-32.7,8.7
USDCAD,USDJPY,12.4,-32.9,-60,-33.4,33.8
USDCAD,GBPNZD,2.3,42.6,-32.7,-37.5,52.8
USDCAD,EURCHF,-36.2,-42.3,-88,-2.7,-42
USDCAD,NZDCHF,-23.8,-85.9,36.7,-13.4,-78.1
USDCAD,CADCHF,-12.9,-94,-76.3,-47.8,-56.7
USDCAD,NZDCAD,-9.6,26.7,67.4,17.4,-53.4
USDCAD,EURCAD,4.6,95.1,31.2,54.2,9.7
USDCAD,EURNZD,13.9,70.3,-60.7,13.6,84.8
USDCAD,GBPAUD,18,65.6,23.8,-8.7,46.1
USDCAD,EURGBP,11.9,48.5,-50.9,49.8,4.3
USDCAD,EURAUD,26.7,88.5,-23.6,39,76.5
USDCAD,USDCAD,100,100,100,100,100
USDCAD,USDCHF,42.6,-0.3,89.5,78.4,55.2
USDCHF,EURUSD,-98.4,-9.2,-98.5,-84.9,-90.2
USDCHF,CHFJPY,-85.7,34.7,-92.5,-75.5,-33.7
USDCHF,EURJPY,-83.8,55.4,-93.1,-54.1,-68.2
USDCHF,NZDJPY,-30.4,4.8,-71.4,-52.3,-83.7
USDCHF,AUDUSD,-74.3,0.1,-79.2,-47.7,-83.3
USDCHF,CADJPY,15.5,33.5,-83.6,-52.6,-5.1
USDCHF,AUDJPY,-32.9,32.5,-84.3,-37.9,-66.6
USDCHF,NZDUSD,-70,-37.1,-51.8,-60.6,-86.8
USDCHF,GBPUSD,-75.5,16.3,-77.1,-60.1,-26.6
USDCHF,GBPJPY,-41.9,52.2,-83.7,-49.2,11.6
USDCHF,AUDNZD,-9.8,61.1,-75.8,-11.7,80.4
USDCHF,AUDCAD,-81.6,-0,23.7,-8.8,-85.8
USDCHF,AUDCHF,59.4,28.1,-7.3,-1.4,-56.7
USDCHF,GBPCHF,44.9,52.4,19.2,-13.9,44.3
USDCHF,GBPCAD,-64.7,14.8,44.7,-25.4,31.7
USDCHF,USDJPY,65.8,74,-44.4,3.2,39.9
USDCHF,GBPNZD,-20.2,59.9,-26.9,-21.6,92.2
USDCHF,EURCHF,-38.3,66.8,-81.9,37,-63.3
USDCHF,NZDCHF,59.4,-10.1,40.1,11.9,-75.1
USDCHF,CADCHF,84.2,28.3,-39.5,17.1,37.4
USDCHF,NZDCAD,-60.4,-58.7,51.2,1.3,-87.6
USDCHF,EURCAD,-86.7,-3.6,-11.4,12.8,-66.1
USDCHF,EURNZD,-72,41,-61.5,6.1,68.2
USDCHF,GBPAUD,-16.9,15.2,22.6,-10.5,87.1
USDCHF,EURGBP,-54.5,-22,-59.8,27.2,-70.9
USDCHF,EURAUD,-69.5,-3.3,-33.4,14.1,18.4
USDCHF,USDCAD,42.6,-0.3,89.5,78.4,55.2
USDCHF,USDCHF,100,100,100,100,100
